,RGB_AlexNet_Train_Acc,RGB_AlexNet_Test_Acc,RGB_AlexNet_Train_Loss,RGB_AlexNet_Test_Loss,Top 1,Top5
0,0.10652281840642293,0.12109375,10.418140676286486,2.3408731619517007,77.7778,98.8889
1,0.16648065547148386,0.16276041666666666,2.3015253278944225,2.3016068935394287,77.7778,98.8889
2,0.21949404809210035,0.15494791666666666,2.23748074637519,2.1660011212031045,77.7778,98.8889
3,0.2548983163303799,0.1953125,1.973664191034105,1.9663590987523396,77.7778,98.8889
4,0.3128100203143226,0.3764880994955699,1.7481356064478557,1.5024706919987996,77.7778,98.8889
5,0.3875868088669247,0.5256696542104086,1.5580557849672105,1.2839455405871074,77.7778,98.8889
6,0.4526289701461792,0.5593378146489462,1.4597777128219604,1.15573650598526,77.7778,98.8889
7,0.5135788718859354,0.621279776096344,1.3243218660354614,1.091886579990387,77.7778,98.8889
8,0.5380084382163154,0.660714308420817,1.241916749212477,0.942735513051351,77.7778,98.8889
9,0.602616568406423,0.7027529875437418,1.1082228554619684,0.8856925368309021,77.7778,98.8889
10,0.6135292715496488,0.6432291865348816,1.0680645174450345,0.9573557376861572,77.7778,98.8889
11,0.6310763888888888,0.7481398979822794,1.0599587493472629,0.7719813684622446,77.7778,98.8889
12,0.6762772864765592,0.7397693594296774,0.9365272323290507,0.7394329110781351,77.7778,98.8889
13,0.688554068406423,0.7912946542104086,0.8983361456129286,0.685470183690389,77.7778,98.8889
14,0.7022569510671828,0.7358631094296774,0.8489831156200833,0.7571582198143005,77.7778,98.8889
15,0.70802331633038,0.7178199489911398,0.8284009430143568,0.7310924728711446,77.7778,98.8889
16,0.732018854882982,0.750558058420817,0.7727578348583646,0.6608981490135193,77.7778,98.8889
17,0.7193080385526022,0.7092634042104086,0.7760202553537157,0.7109070817629496,77.7778,98.8889
18,0.7240823441081576,0.7559523979822794,0.758688833978441,0.6836973230044047,77.7778,98.8889
19,0.7375372052192688,0.754464308420817,0.7380814949671427,0.6470899879932404,77.7778,98.8889
20,0.7520461347368028,0.770089308420817,0.6932195954852634,0.6514016588528951,77.7778,98.8889
21,0.744915677441491,0.754278282324473,0.6865162054697672,0.6457219024499258,77.7778,98.8889
22,0.75099206633038,0.777901808420817,0.6879380742708842,0.6922743419806162,77.7778,98.8889
23,0.753782245847914,0.769903282324473,0.6736537350548638,0.6335873703161875,77.7778,98.8889
24,0.7775917715496488,0.750186026096344,0.6217992703119913,0.6540271242459615,77.7778,98.8889
25,0.7728174659940932,0.7209821542104086,0.6198123229874505,0.7325811386108398,77.7778,98.8889
26,0.7880084382163154,0.6971726218859354,0.5996423098776076,0.7907645106315613,77.7778,98.8889
27,0.7776537736256918,0.7568824489911398,0.601613140768475,0.6723981499671936,77.7778,98.8889
28,0.7671130961842008,0.7792038917541504,0.6212949819035001,0.6449507375558218,77.7778,98.8889
29,0.7919766902923584,0.773623526096344,0.571159647570716,0.648830771446228,77.7778,98.8889
30,0.8116319510671828,0.7609747250874838,0.5262181560198466,0.6672622213761011,77.7778,98.8889
31,0.8021453420321146,0.7767857313156128,0.5275048414866129,0.6373342971007029,77.7778,98.8889
32,0.8172743121782938,0.7840401927630106,0.4869355824258592,0.6254447301228842,77.7778,98.8889
33,0.8253968291812472,0.7793898979822794,0.4861819412973192,0.6453806261221567,77.7778,98.8889
34,0.8345734145906236,0.7922247250874838,0.4511527352862888,0.6273189683755239,77.7778,98.8889
35,0.8412698441081576,0.7998511989911398,0.4562772744231754,0.5712695022424062,77.7778,98.8889
36,0.8616071475876702,0.8002232313156128,0.41342247194714016,0.5971954166889191,77.7778,98.8889
37,0.8526785771052042,0.7961309750874838,0.4157533844312032,0.5976878305276235,77.7778,98.8889
38,0.8601810534795126,0.7883184750874838,0.37358447578218246,0.5936776399612427,77.7778,98.8889
39,0.867001493771871,0.7637648979822794,0.3854752414756351,0.8376746525367101,77.7778,98.8889
40,0.8389136923684014,0.7989211479822794,0.4474404388003879,0.6436486542224884,77.7778,98.8889
41,0.845362106959025,0.7842261989911398,0.4368005560504066,0.646548330783844,77.7778,98.8889
42,0.8602430621782938,0.8119419813156128,0.3923623859882355,0.580440471569697,77.7778,98.8889
43,0.8767981198098924,0.809151808420817,0.34067218833499485,0.6808326343695322,77.7778,98.8889
44,0.8612351218859354,0.7723214427630106,0.39442412389649284,0.6981461544831594,77.7778,98.8889
45,0.8596850236256918,0.7183779875437418,0.3988484690586726,0.7171912789344788,77.7778,98.8889
46,0.8757440514034696,0.8182663917541504,0.3371928897168901,0.5676299333572388,77.7778,98.8889
47,0.9071180621782938,0.8156622250874838,0.2680876784854465,0.6412928799788157,77.7778,98.8889
48,0.9145585364765592,0.765625019868215,0.2546195023589664,0.8232403794924418,77.7778,98.8889
49,0.8920510941081576,0.7987351417541504,0.2936476618051529,0.6760470072428385,77.7778,98.8889
