Epochs,B_VGG_16_Train_Acc,B_VGG16_Test_Acc,B_VGG16_Train_Loss,B_VGG16_Test_Loss,B_ResNet34_Train_Acc,B_ResNet34_Test_Acc,B_ResNet34_Train_Loss,B_ResNet34_Test_Loss,B_ResNet50_Train_Acc,B_ResNet50_Test_Acc,B_ResNet50_Train_Loss,B_ResNet50_Test_Loss,B_AlexNet_Train_Acc,B_AlexNet_Test_Acc,B_AlexNet_Train_Loss,B_AlexNet_Test_Loss
39,89.49074074,75.74074074,0.303805779,0.751473148,99.9537037,84.25925926,0.002381125,0.765892101,99.62962963,83.51851852,0.018378192,0.629074468,59.42095588,53.41386567,1.086577329,1.233918144
40,89.53703704,78.7037037,0.297019878,0.690787743,99.76851852,84.81481481,0.008692391,0.773395215,99.39814815,81.2962963,0.022393331,0.659529809,61.99448529,51.70693292,1.023965931,1.235695345
41,92.03703704,77.40740741,0.218460369,0.767676159,99.86111111,84.44444444,0.004216754,0.65441482,99.53703704,80.18518519,0.017467786,0.711030247,62.40808824,54.6743698,1.003373905,1.173068092
42,91.2037037,75.18518519,0.234504985,0.814711369,100,85.18518519,0.002809185,0.710567613,99.44444444,82.03703704,0.019035432,0.668566876,60.06433824,55.85609254,1.08148285,1.216393551
43,90.92592593,77.96296296,0.253750822,0.759346195,100,84.81481481,0.00223999,0.738610015,99.62962963,82.03703704,0.015229747,0.641200074,61.02941176,50.26260509,1.057155943,1.428167024
44,91.80555556,77.59259259,0.231399552,0.827363984,100,84.07407407,0.002686069,0.738723748,99.72222222,81.2962963,0.016110624,0.737606848,59.00735294,55.01575645,1.086634525,1.246466374
45,91.06481481,77.59259259,0.256169735,0.838379345,99.86111111,84.44444444,0.004591322,0.81547596,99.21296296,81.66666667,0.020768031,0.70814862,62.68382353,53.83403371,1.009554077,1.246027519
46,92.5462963,77.22222222,0.24226641,0.696157909,99.76851852,83.33333333,0.007535207,0.785229397,99.67592593,78.7037037,0.015833012,0.765025765,63.41911765,55.88235294,0.979321065,1.161627093
47,93.84259259,77.77777778,0.166734426,0.949305779,99.86111111,84.62962963,0.004691652,0.819767468,99.72222222,79.81481481,0.012094502,0.726923094,63.28125,55.67226901,0.965588842,1.213146764
48,93.28703704,76.48148148,0.208704807,0.796466082,99.9537037,82.96296296,0.003646988,0.923534393,99.9537037,79.44444444,0.009157692,0.75341654,65.16544118,51.15546234,0.947554296,1.193485726
49,92.96296296,76.48148148,0.187655014,0.878980853,99.81481481,84.07407407,0.006904882,0.840219203,99.72222222,80.92592593,0.013553067,0.689900109,61.35110294,54.59558824,1.019421123,1.355437647
50,93.19444444,77.03703704,0.201811833,0.854127782,99.9537037,84.44444444,0.004394627,0.771455788,99.72222222,80.55555556,0.0135529,0.675374995,62.95955882,56.88025215,0.956394747,1.18280266
