Epochs,G_AlexNet_Train_Acc,G_AlexNet_Test_Acc,G_AlexNet_Train_Loss,G_AlexNet_Test_Loss,G_ResNet34_Train_Acc,G_ResNet34_Test_Acc,G_ResNet34_Train_Loss,G_ResNet34_Test_Loss,G_ResNet50_Train_Acc,G_ResNet50_Test_Acc,G_ResNet50_Train_Loss,G_ResNet50_Test_Loss,G_VGG16_Train_Acc,G_VGG16_Test_Acc,G_VGG16_Train_Loss,G_VGG16_Test_Loss
1,0.1024925609429677,0.0677083333333333,13.555298222435844,2.347873051961263,91.66666666666669,85.55555555555556,0.2493128713001223,0.4905509750048319,96.52777777777776,85.37037037037037,0.1165953269776176,0.5199401295847363,10.37037037037037,14.074074074074074,2.349869503694422,2.2981797106125774
2,0.0952380961842007,0.0533854166666666,2.3320897155337863,2.2824483712514243,92.5925925925926,86.48148148148148,0.2405472432865816,0.3961781412363052,95.13888888888889,85.37037037037037,0.1489747316740891,0.5439945691161685,10.74074074074074,9.814814814814817,2.303658762398888,2.302566738689647
3,0.1045386907127168,0.0703125,2.242138624191284,2.246656656265259,93.75,86.85185185185185,0.2009538175428614,0.3923736529217826,96.1574074074074,84.62962962962963,0.1253556352766121,0.4804748528533512,11.157407407407408,9.814814814814817,2.298589983407189,2.302314982694738
4,0.1728670663303799,0.1744791666666666,2.206800831688775,2.163120667139689,96.25,90.74074074074076,0.1213896553963422,0.3346825804975297,95.60185185185183,87.5925925925926,0.1341921362806769,0.4366505394379298,11.48148148148148,10.925925925925926,2.297951845561757,2.273025120005888
5,0.2319568461842007,0.1876860124369462,2.1116108232074318,1.9380951325098676,95.87962962962963,88.14814814814815,0.1156712071422268,0.3874191244443257,95.97222222222224,88.51851851851852,0.1172165508546373,0.4444897903336419,13.657407407407408,12.77777777777778,2.2527129194315743,2.292466724620146
6,0.2544642885526021,0.3387276927630107,1.9431796736187408,1.8669285376866656,96.20370370370372,89.25925925925925,0.1065502866883488,0.37773547321558,97.73148148148148,88.14814814814815,0.0844674851087962,0.4309481001562542,12.962962962962964,18.703703703703702,2.2605143469922684,2.1325020404422985
7,0.2891865107748244,0.3178943494955699,1.856949806213379,1.8097573518753047,97.96296296296296,89.07407407407408,0.0663825681378297,0.3527246581183539,97.08333333333331,86.48148148148148,0.0820729116744855,0.4462835101617707,19.675925925925927,22.59259259259259,2.041228034917046,1.870932607089772
8,0.3133060534795125,0.2847842276096344,1.7914944754706488,1.786422888437907,98.24074074074076,90.92592592592592,0.0582455526489545,0.3151428037219577,97.26851851851852,87.03703703703704,0.0864475945229916,0.5017399936914444,24.675925925925927,33.51851851851852,1.9082035071709575,1.7221997906179989
9,0.3268849220540788,0.2583705385526021,1.7720777988433838,1.9540599584579468,98.70370370370372,90.1851851851852,0.0444496870040893,0.3211392495367262,97.6851851851852,88.14814814814815,0.0702107871389564,0.3979220704899894,29.30555555555556,36.851851851851855,1.8236478286630968,1.7009293156511642
10,0.3054935534795125,0.380952388048172,1.8156204223632808,1.6344895362854004,98.75,91.66666666666669,0.0391161097761462,0.3228007753690083,98.51851851851852,89.44444444444444,0.0575019413167062,0.3920633296171824,35.78703703703704,41.851851851851855,1.6556117166491116,1.53211912688087
11,0.3365575406286452,0.3041294664144516,1.7642204099231296,1.7199656168619792,98.51851851851852,91.48148148148148,0.043439115589375,0.3357222163014942,98.51851851851852,88.33333333333333,0.0525409731301753,0.4183242966731389,40.92592592592592,47.77777777777778,1.5210880531984217,1.3101469997097464
12,0.3787202404605018,0.3374255994955699,1.6761367718378704,1.602367877960205,99.39814814814817,91.11111111111111,0.0257836174740291,0.3371478600634469,98.79629629629628,88.88888888888889,0.0450052200707004,0.3866190099053913,49.907407407407405,52.03703703703704,1.3412866802776562,1.233001733527464
13,0.3957713312572903,0.3383556604385376,1.604380938741896,1.596936782201131,99.30555555555556,90.55555555555556,0.0309819389983792,0.3308086155189408,98.75,89.44444444444444,0.0435709487646818,0.4180526816182666,55.55555555555556,64.81481481481481,1.201919171740027,1.0007427457500906
14,0.3658234145906236,0.3160342276096344,1.6592464579476252,1.6853466828664143,98.98148148148148,90.74074074074076,0.0291057041955783,0.3194794522391425,99.07407407407408,90.74074074074076,0.0368840750032926,0.3297424092888832,59.81481481481482,63.888888888888886,1.085504687884275,0.961344994166318
15,0.4072420663303799,0.5063244104385376,1.6078993611865573,1.3205097516377766,99.25925925925924,92.03703703703704,0.0282395964844481,0.3162095596392949,99.25925925925924,89.07407407407408,0.0299298152984941,0.3974557535515891,63.56481481481482,69.44444444444444,1.0069433135144852,0.8131624582935782
16,0.4351438515716129,0.5213913718859354,1.5157216919793024,1.224100132783254,99.49074074074076,91.85185185185183,0.0213020661065135,0.2913461366875304,99.21296296296296,89.62962962962963,0.0330777585725573,0.3981476376454035,69.16666666666667,71.11111111111111,0.8844744983841392,0.8064634317860884
17,0.451946927441491,0.4315476218859355,1.463759528266059,1.3057827949523926,99.72222222222224,91.29629629629628,0.016533495454282,0.2899913870626026,98.88888888888889,89.07407407407408,0.0407143273829099,0.4139517810609605,67.91666666666667,76.29629629629629,0.8616549789029009,0.6636165582081851
18,0.452008929517534,0.5148809552192688,1.442871265941196,1.2321870923042295,99.53703703703704,90.55555555555556,0.0179583831032847,0.3153670612308714,99.21296296296296,89.07407407407408,0.029851729666595,0.3662553334401713,70.64814814814815,76.11111111111111,0.7865583269911653,0.6974038174923729
19,0.4511408739619785,0.3277529776096344,1.4812152915530734,1.510570764541626,99.58333333333331,91.11111111111111,0.0172178312615655,0.3488933228784137,99.76851851851852,90.74074074074076,0.0160615803975173,0.3903659184773763,73.33333333333333,70.74074074074075,0.7283540907151559,0.7623790712917552
20,0.4346478184064229,0.4706101218859355,1.5239836639828153,1.2268651922543845,99.58333333333331,89.81481481481481,0.0149722653783529,0.3246393203735351,99.39814814814817,88.33333333333333,0.0261728850001578,0.3926580465502209,71.01851851851852,77.96296296296296,0.8100178079570041,0.6372288119267014
21,0.4748263888888889,0.5502232313156128,1.4070908625920613,1.128994345664978,99.95370370370372,90.37037037037037,0.0079659798442769,0.2914307233360078,99.53703703703704,89.07407407407408,0.0216884460943915,0.3905794951650831,75.78703703703704,77.4074074074074,0.6570733347359825,0.6392463866402122
22,0.487103177441491,0.570312519868215,1.3664593564139471,1.0421810845534007,99.86111111111111,92.4074074074074,0.0081227992538034,0.3012641709711816,99.67592592592592,89.62962962962963,0.0185125983758446,0.3889406646291415,78.47222222222223,69.07407407407408,0.58500251634156,0.913434467771474
23,0.4610615107748244,0.3616071442763011,1.4271060625712078,1.4769418636957805,99.8148148148148,90.1851851851852,0.0109991893405094,0.324369705385632,99.30555555555556,90.55555555555556,0.023895381073303,0.3660642016265127,78.10185185185185,82.4074074074074,0.6066176540711347,0.5202723355854258
24,0.4561011923684014,0.5014881094296774,1.4502804809146457,1.224815011024475,99.86111111111111,90.55555555555556,0.0081051232443903,0.2970843927727805,99.53703703703704,90.1851851851852,0.0222573779002927,0.3469883236620161,80.04629629629629,79.44444444444444,0.5478940746363472,0.5649218138526467
25,0.502790179517534,0.581845243771871,1.3725056383344862,1.0640955567359924,99.72222222222224,90.92592592592592,0.0101023057222311,0.3292713297737969,99.44444444444444,90.0,0.0184045727672877,0.3929689207838641,80.41666666666667,78.51851851851852,0.5293837996090159,0.6216133828548824
26,0.5267857180701362,0.546875,1.2932370106379192,1.1111413836479187,99.58333333333331,91.29629629629628,0.0149897330865154,0.3246092382404539,99.86111111111111,89.62962962962963,0.012671488638529,0.3629157129261229,82.31481481481481,81.29629629629629,0.4849627213004757,0.489133902332362
27,0.5124628014034696,0.5357142885526022,1.3262133995691936,1.1982050736745198,99.8148148148148,91.29629629629628,0.0089529608650242,0.3089578251043955,99.67592592592592,89.25925925925925,0.0139607027659247,0.3598168194293976,82.45370370370371,76.29629629629629,0.4794238360927385,0.6560483548571082
28,0.531063993771871,0.5215773979822794,1.294943438635932,1.1249112884203594,100.0,92.22222222222224,0.0075764322468517,0.2769155402978261,99.67592592592592,90.0,0.0122295255081125,0.3743831424249543,82.91666666666667,83.51851851851852,0.5065062495277208,0.4816433835555525
29,0.491071429517534,0.5855654875437418,1.362209267086453,1.0535883208115897,99.86111111111111,90.92592592592592,0.0071974996415733,0.3159915390941832,99.86111111111111,90.92592592592592,0.0096249720424084,0.4143763664695952,83.8425925925926,83.70370370370371,0.4375102200052317,0.4828501207863583
30,0.4907614125145806,0.617559532324473,1.3231156137254505,1.099541703859965,99.95370370370372,92.03703703703704,0.0057958211263586,0.3246784292989307,99.67592592592592,89.44444444444444,0.0158166285974028,0.3341343166927497,86.57407407407408,82.77777777777777,0.3832616053302498,0.4380107209743822
31,0.5460689531432258,0.5864955385526022,1.255183842447069,1.028376281261444,99.9074074074074,91.85185185185183,0.0065415367357405,0.3727044562498728,99.9074074074074,89.44444444444444,0.009027086520184,0.432798307802942,87.45370370370371,83.14814814814815,0.363444461761152,0.5052532444105429
32,0.5425347222222222,0.675595243771871,1.227036264207628,0.9229105214277904,99.95370370370372,91.29629629629628,0.0048799646953257,0.2942674160003662,99.76851851851852,88.33333333333333,0.0126808656050878,0.4261632412672043,88.14814814814815,84.44444444444444,0.3462660930612508,0.4644286073744297
33,0.533978177441491,0.5461309552192688,1.2569137546751237,1.2295713822046916,99.72222222222224,89.81481481481481,0.0080042498165686,0.4123724897702535,99.67592592592592,87.96296296296296,0.0155791706501451,0.3919038507673476,88.56481481481481,84.25925925925925,0.3225997640367816,0.4329931407290346
