Epochs,RGB_AlexNet_Train_Acc,RGB_AlexNet_Test_Acc,RGB_AlexNet_Train_Loss,RGB_AlexNet_Test_Loss,RGB_ResNet34_Train_Acc,RGB_ResNet34_Test_Acc,RGB_ResNet34_Train_Loss,RGB_ResNet34_Test_Loss,RGB_ResNet50_Train_Acc,RGB_ResNet50_Test_Acc,RGB_ResNet50_Train_Loss,RGB_ResNet50_Test_Loss,RGB_VGG16_Train_Acc,RGB_VGG16_Test_Acc,RGB_VGG16_Train_Loss,RGB_VGG16_Test_Loss
1,0.1065228184064229,0.12109375,10.418140676286486,2.3408731619517007,97.17592592592592,91.66666666666669,0.0995171562056331,0.2845110346873601,99.12037037037037,93.33333333333331,0.0426422175677383,0.2301052270664109,57.77777777777778,81.11111111111111,1.2480223590836803,0.5609618626973208
2,0.1664806554714838,0.1627604166666666,2.3015253278944225,2.3016068935394287,97.77777777777776,94.07407407407408,0.0747297548360246,0.2173108574416902,99.49074074074076,92.03703703703704,0.0335094605517738,0.2718024518754747,78.51851851851852,88.70370370370371,0.6099560322130427,0.3934086149229723
3,0.2194940480921003,0.1549479166666666,2.23748074637519,2.1660011212031045,98.05555555555556,93.70370370370372,0.0596403313855476,0.2158186336358388,99.39814814814817,94.07407407407408,0.0355018336490234,0.2171441010302967,83.93518518518519,78.88888888888889,0.4786239821902093,0.731792662950123
4,0.2548983163303799,0.1953125,1.973664191034105,1.96635909875234,98.8425925925926,93.70370370370372,0.0388840236153234,0.2305139216283957,99.30555555555556,93.51851851851852,0.0323502410011475,0.2273439152373207,87.12962962962963,89.62962962962963,0.3953642109956811,0.2700166446978555
5,0.3128100203143226,0.3764880994955699,1.7481356064478557,1.5024706919987996,98.79629629629628,95.0,0.0432915558134589,0.1628368952208095,99.58333333333331,94.8148148148148,0.0269127817523172,0.2086763232946396,89.53703703703704,89.62962962962963,0.3046272720265038,0.2944286570829503
6,0.3875868088669247,0.5256696542104086,1.5580557849672103,1.2839455405871074,99.16666666666669,94.07407407407408,0.0341823019416016,0.2045974458257357,99.30555555555556,92.77777777777776,0.024144679924254,0.2495571076869964,90.92592592592592,91.66666666666669,0.2660890855442951,0.2435990273952484
7,0.4526289701461792,0.5593378146489462,1.4597777128219604,1.15573650598526,99.30555555555556,94.62962962962963,0.0306870507432476,0.1856182770182689,99.25925925925924,94.44444444444444,0.0298977369196055,0.2113338708877563,93.5648148148148,92.96296296296296,0.1952032255392302,0.2087992930730038
8,0.5135788718859354,0.621279776096344,1.3243218660354614,1.091886579990387,99.58333333333331,93.51851851851852,0.0184228890849386,0.1994476566712061,99.39814814814817,94.25925925925924,0.0274120186291196,0.2064973910649617,94.30555555555556,93.51851851851852,0.1701490157283842,0.1933830908417482
9,0.5380084382163154,0.660714308420817,1.241916749212477,0.942735513051351,99.35185185185183,94.07407407407408,0.0207991380217101,0.1603462178674009,99.21296296296296,94.25925925925924,0.0270409392302527,0.2110288855102327,95.83333333333331,93.33333333333331,0.1253688230507952,0.260032285730738
10,0.602616568406423,0.7027529875437418,1.1082228554619684,0.8856925368309021,99.72222222222224,94.44444444444444,0.0149757949471035,0.1521793069938818,99.76851851851852,94.62962962962963,0.017747102140942,0.2191996094253328,96.48148148148148,93.51851851851852,0.108185948612278,0.2428971250397701
11,0.6135292715496488,0.6432291865348816,1.0680645174450345,0.9573557376861572,99.8148148148148,95.1851851851852,0.0112263885778648,0.1687720525595877,99.58333333333331,94.62962962962963,0.0238634094267207,0.1845190744433138,96.71296296296296,94.62962962962963,0.0913510681540869,0.160209444402854
12,0.6310763888888888,0.7481398979822794,1.0599587493472629,0.7719813684622446,99.72222222222224,94.44444444444444,0.0136343384613556,0.166751151283582,99.76851851851852,93.88888888888889,0.0162744784166159,0.2009691761599646,96.57407407407408,93.14814814814817,0.1064169250551939,0.2345414988504832
13,0.6762772864765592,0.7397693594296774,0.9365272323290508,0.7394329110781351,99.76851851851852,94.07407407407408,0.0111953360234003,0.195577105300294,99.67592592592592,93.51851851851852,0.0161433910594924,0.2287522595789697,96.89814814814817,93.14814814814817,0.0794601760160945,0.2165584434970857
14,0.688554068406423,0.7912946542104086,0.8983361456129286,0.685470183690389,99.67592592592592,94.44444444444444,0.0136486934018595,0.1821600422263145,99.58333333333331,94.25925925925924,0.0186516326468657,0.2111363129483329,97.22222222222224,93.14814814814817,0.0819114211481064,0.2024159585433902
15,0.7022569510671828,0.7358631094296774,0.8489831156200833,0.7571582198143005,99.86111111111111,95.0,0.010593588977559,0.1537723516424497,99.39814814814817,95.0,0.0198712645180742,0.1977535248216655,96.94444444444444,94.07407407407408,0.0958783556946882,0.1866345955949167
16,0.70802331633038,0.7178199489911398,0.8284009430143568,0.7310924728711446,99.67592592592592,94.25925925925924,0.0127115793361821,0.2064627764953507,99.39814814814817,95.55555555555556,0.0190571638522669,0.1855118324359258,97.17592592592592,93.70370370370372,0.0805394430439371,0.2358118660665829
17,0.732018854882982,0.750558058420817,0.7727578348583646,0.6608981490135193,99.86111111111111,95.1851851851852,0.0064157303422689,0.1440787116686503,99.72222222222224,94.8148148148148,0.0144638194264296,0.2003114947842227,96.52777777777776,92.96296296296296,0.1047660800498252,0.2636492488535997
18,0.7193080385526022,0.7092634042104086,0.7760202553537157,0.7109070817629496,99.8148148148148,95.55555555555556,0.0073886186959605,0.205460893197192,99.72222222222224,93.70370370370372,0.0158891605405027,0.2272943622536129,97.63888888888889,93.88888888888889,0.0689089656807482,0.2226857977477587
