Epochs,HSV_AlexNet_Train_Acc,HSV_AlexNet_Test_Acc,HSV_AlexNet_Train_Loss,HSV_AlexNet_Test_Loss,HSV_ResNet34_Train_Acc,HSV_ResNet34_Test_Acc,HSV_ResNet34_Train_Loss,HSV_ResNet34_Test_Loss,HSV_ResNet50_Train_Acc,HSV_ResNet50_Test_Acc,HSV_ResNet50_Train_Loss,HSV_ResNet50_Test_Loss,HSV_VGG16_Train_Acc,HSV_VGG16_Test_Acc,HSV_VGG16_Train_Loss,HSV_VGG16_Test_Loss
29,0.817212303,0.736049116,0.487447957,0.867337982,99.90740741,92.40740741,0.006967385,0.252134739,99.86111111,89.62962963,0.010623357,0.323956499,96.57407407,89.07407407,0.101987514,0.325488897
30,0.846106158,0.754650315,0.435983198,0.8115517,99.90740741,92.40740741,0.006245005,0.22536679,99.76851852,90,0.01516517,0.362443923,95.74074074,89.07407407,0.125353557,0.360542595
31,0.844928079,0.742373526,0.419646558,0.849176447,99.81481481,92.77777778,0.009243444,0.239664153,99.76851852,90,0.012061372,0.342190592,96.2037037,90.37037037,0.111195194,0.308849139
32,0.855468757,0.746465782,0.369733628,0.930146714,100,92.03703704,0.00377135,0.267505243,99.72222222,91.48148148,0.01278025,0.325962757,97.36111111,92.40740741,0.088193579,0.291075379
33,0.853670637,0.786086321,0.392856121,0.732225696,99.9537037,93.14814815,0.005610933,0.24146982,99.72222222,89.44444444,0.01425991,0.32522933,96.66666667,90.55555556,0.105165711,0.305747862
34,0.857018855,0.801897327,0.394689358,0.773564537,99.90740741,91.85185185,0.004977213,0.278808625,99.81481481,89.07407407,0.011596675,0.381411167,97.31481481,90.37037037,0.094431359,0.309785269
35,0.865513398,0.749069949,0.354481561,0.863126963,99.9537037,93.14814815,0.004020225,0.225471959,99.81481481,90.74074074,0.01073515,0.339789699,96.57407407,87.59259259,0.103904825,0.418268202
36,0.86067709,0.759486616,0.372260511,0.848125199,100,92.03703704,0.003157568,0.237045541,99.86111111,90.18518519,0.011900086,0.332390605,96.06481481,87.96296296,0.099373378,0.465736745
37,0.854352686,0.725260417,0.405551232,1.085113181,99.9537037,92.77777778,0.00440223,0.234665347,99.76851852,90.92592593,0.011025214,0.309496137,97.08333333,90.74074074,0.092086358,0.384613566
38,0.815786216,0.764880975,0.502179656,0.758891284,100,93.14814815,0.003033696,0.233514423,99.90740741,89.62962963,0.008708963,0.334251031,97.68518519,91.11111111,0.061741816,0.3381892
39,0.846230163,0.749069949,0.422036529,0.932630122,100,92.96296296,0.002919754,0.247875772,99.81481481,88.7037037,0.008859163,0.393736652,97.77777778,89.07407407,0.072627225,0.353922552
40,0.857824908,0.744419654,0.393789328,0.904631813,99.9537037,92.40740741,0.002917793,0.298826371,99.90740741,90.18518519,0.00829456,0.313787966,96.2037037,88.7037037,0.113213334,0.360778973
41,0.841021829,0.756510417,0.427842644,0.855047175,99.9537037,92.96296296,0.004905648,0.223741482,99.9537037,90.18518519,0.007002975,0.3421811,97.26851852,90.55555556,0.101399241,0.304447253
42,0.855840776,0.770275315,0.386804322,0.840545932,100,92.77777778,0.002500768,0.230662194,99.90740741,91.2962963,0.009409827,0.301858575,97.17592593,86.2962963,0.07851696,0.466779272
43,0.854414688,0.754092276,0.393554148,0.954449554,99.9537037,93.14814815,0.004174315,0.21775793,99.9537037,90.74074074,0.008683172,0.289258254,98.37962963,91.66666667,0.049132589,0.34963883
44,0.856088797,0.765252988,0.397587369,0.875009477,100,92.59259259,0.003137696,0.23829899,99.76851852,90.18518519,0.010598019,0.335127562,97.4537037,88.7037037,0.065122993,0.384258071
45,0.864087303,0.723958353,0.374954793,0.98359108,99.9537037,91.66666667,0.003892698,0.255582607,99.81481481,90,0.010264193,0.345741964,97.73148148,89.25925926,0.075346401,0.351162543
46,0.85497272,0.737165193,0.386272464,0.929720163,99.90740741,92.40740741,0.004916278,0.277747942,99.76851852,89.44444444,0.011082077,0.316400842,97.73148148,88.33333333,0.061413864,0.365541701
47,0.858196927,0.791108648,0.37513918,0.838932042,100,92.03703704,0.002275733,0.243609798,99.9537037,88.88888889,0.007448947,0.36757252,98.65740741,88.7037037,0.048600409,0.422763202
48,0.884982646,0.780691981,0.335595843,0.857678394,100,92.03703704,0.002663198,0.315097469,99.90740741,89.44444444,0.006857863,0.344332632,98.00925926,87.03703704,0.06017934,0.555765682
49,0.852554566,0.762090782,0.412388073,0.7301884,99.9537037,92.03703704,0.003036545,0.277178656,99.90740741,90,0.007204239,0.359403824,98.47222222,89.44444444,0.064474838,0.384903335
50,0.858134925,0.776785731,0.412304484,0.885578136,99.9537037,94.07407407,0.002775594,0.218388229,99.90740741,90.55555556,0.005934116,0.359430947,96.2037037,89.62962963,0.113570136,0.396798509
